student_id,name,age,plan,enrollment_months,weekly_frequency,days_since_last_visit,overdue_payments,overdue_days,plan_price,last_visit,enrollment_date,churn_probability,churn,risk_level
MOV-0001,Gabriel Dias,27,Basic Fit,1,2,4,0,0,79.9,10/04/2026,15/03/2026,0.37395916729564027,0,baixo
MOV-0002,André Carvalho,17,Basic Fit,3,2,11,0,0,79.9,03/04/2026,14/01/2026,0.796275509430189,1,alto
MOV-0003,Lucas Martins,35,Platinum,3,7,15,0,0,129.9,30/03/2026,14/01/2026,0.7614569972865414,1,alto
MOV-0004,André Rocha,36,Basic Fit,45,2,0,0,0,79.9,14/04/2026,03/08/2022,0.19296088254178523,0,baixo
MOV-0005,Larissa Gomes,23,Platinum,13,3,10,0,0,129.9,04/04/2026,20/03/2025,0.3995073725439987,0,baixo
MOV-0006,Ricardo Pereira,23,Platinum,32,2,4,0,0,129.9,10/04/2026,28/08/2023,0.26527728937751177,0,baixo
MOV-0007,Lucas Costa,25,Platinum,21,2,1,0,0,129.9,13/04/2026,23/07/2024,0.3863111267579698,0,baixo
MOV-0008,Helena Santos,20,Basic Fit,10,3,4,0,0,79.9,10/04/2026,18/06/2025,0.30582683881990674,0,baixo
MOV-0009,Letícia Oliveira,16,Black VIP,13,2,27,0,0,189.9,18/03/2026,20/03/2025,0.7229363992652743,1,alto
MOV-0010,Isabela Almeida,31,Basic Fit,11,6,1,0,0,79.9,13/04/2026,19/05/2025,0.3292596000050073,0,baixo
MOV-0011,Natália Souza,27,Platinum,13,2,1,1,16,129.9,13/04/2026,20/03/2025,0.46844712700835356,0,medio
MOV-0012,Ana Silva,28,Platinum,3,4,6,1,2,129.9,08/04/2026,14/01/2026,0.5866026266278473,1,medio
MOV-0013,Mariana Almeida,21,Platinum,6,2,0,0,0,129.9,14/04/2026,16/10/2025,0.43317407504816396,0,medio
MOV-0014,Felipe Araújo,40,Platinum,10,5,8,0,0,129.9,06/04/2026,18/06/2025,0.4788038555837556,0,medio
MOV-0015,Mateus Alencar,56,Platinum,1,0,5,0,0,129.9,09/04/2026,15/03/2026,0.4137049506678923,0,medio
MOV-0016,Bianca Mendes,23,Basic Fit,7,3,9,0,0,79.9,05/04/2026,16/09/2025,0.5626494286881254,1,medio
MOV-0017,Thiago Carvalho,45,Platinum,23,2,1,0,0,129.9,13/04/2026,24/05/2024,0.34937513673909537,0,baixo
MOV-0018,Natália Gomes,35,Basic Fit,8,2,9,0,0,79.9,05/04/2026,17/08/2025,0.5470366870648719,1,medio
MOV-0019,Mariana Dias,32,Platinum,9,2,2,0,0,129.9,12/04/2026,18/07/2025,0.33944078719962323,0,baixo
MOV-0020,Felipe Santos,28,Platinum,2,2,0,1,35,129.9,14/04/2026,13/02/2026,0.5750688858956546,1,medio
MOV-0021,Eduardo Gomes,31,Platinum,18,2,11,0,0,129.9,03/04/2026,21/10/2024,0.8515848083468887,1,alto
MOV-0022,Gabriel Ferreira,43,Basic Fit,5,2,6,1,18,79.9,08/04/2026,15/11/2025,0.6814739293167531,1,medio
MOV-0023,Gabriel Barbosa,20,Platinum,37,3,0,0,0,129.9,14/04/2026,31/03/2023,0.18000850552339037,0,baixo
MOV-0024,Daniela Ribeiro,29,Platinum,60,2,1,0,0,129.9,13/04/2026,10/05/2021,0.30868954599658005,0,baixo
MOV-0025,Yasmin Ferreira,44,Basic Fit,29,3,1,1,1,79.9,13/04/2026,26/11/2023,0.3318655308712522,0,baixo
MOV-0026,Larissa Oliveira,41,Platinum,1,5,16,0,0,129.9,29/03/2026,15/03/2026,0.6747546272503024,1,medio
MOV-0027,Camila Carvalho,20,Basic Fit,4,3,10,0,0,79.9,04/04/2026,15/12/2025,0.4838821363841094,0,medio
MOV-0028,Bianca Rocha,30,Platinum,34,0,2,1,13,129.9,12/04/2026,29/06/2023,0.5157334414775844,1,medio
MOV-0029,Mariana Martins,39,Basic Fit,19,3,3,0,0,79.9,11/04/2026,21/09/2024,0.3375349057773986,0,baixo
MOV-0030,Thiago Santos,38,Platinum,29,3,1,0,0,129.9,13/04/2026,26/11/2023,0.21803551571583782,0,baixo
MOV-0031,Rafaela Araújo,41,Basic Fit,10,4,6,0,0,79.9,08/04/2026,18/06/2025,0.3186197396773442,0,baixo
MOV-0032,Daniela Barbosa,35,Platinum,7,5,0,0,0,129.9,14/04/2026,16/09/2025,0.28529504355053475,0,baixo
MOV-0033,Helena Costa,37,Platinum,1,2,2,0,0,129.9,12/04/2026,15/03/2026,0.3328105995701226,0,baixo
MOV-0034,Ana Souza,35,Black VIP,21,1,4,0,0,189.9,10/04/2026,23/07/2024,0.466382864909755,0,medio
MOV-0035,Letícia Alencar,47,Platinum,16,2,10,0,0,129.9,04/04/2026,20/12/2024,0.3515845545857252,0,baixo
MOV-0036,Daniela Barbosa,27,Basic Fit,1,0,5,1,9,79.9,09/04/2026,15/03/2026,0.6924936160956967,1,medio
MOV-0037,Larissa Almeida,32,Platinum,2,3,14,1,29,129.9,31/03/2026,13/02/2026,0.9032473024208094,1,alto
MOV-0038,Ana Alencar,21,Platinum,9,1,13,0,0,129.9,01/04/2026,18/07/2025,0.9211855964188245,1,alto
MOV-0039,Natália Costa,19,Platinum,13,5,6,0,0,129.9,08/04/2026,20/03/2025,0.47506155673585715,0,medio
